Date,Category,Description,Amount,Type
2024-10-01,Food,Grocery,50.75,Expense
2024-10-02,Rent,Monthly Rent,1200,Expense
2024-10-02,Utilities,Electricity Bill,60,Expense
2024-10-03,Food,Dinner,30,Expense
2024-10-04,Transport,Bus Ticket,2.75,Expense
2024-10-05,Food,Breakfast,15,Expense
2024-10-06,Income,Salary,2000,Income
2024-10-10,Income,Freelance Work,500,Income
2024-10-12,Utilities,Water Bill,40,Expense
2024-10-15,Food,Lunch,25,Expense
2024-10-18,Transport,Taxi,25,Expense
2024-10-20,Income,Investment Return,200,Income
2024-10-25,Food,Groceries,80,Expense
2024-10-28,Rent,Monthly Rent,1200,Expense
2024-09-28,Rent,Monthly Rent,1200,Expense
2024-01-04,Transport,Bus Ticket,2.75,Expense
2024-01-05,Food,Breakfast,15,Expense
2024-01-06,Income,Salary,2000,Income
2024-01-10,Income,Freelance Work,500,Income
2024-02-12,Utilities,Water Bill,40,Expense
2024-02-15,Food,Lunch,25,Expense
2024-03-18,Transport,Taxi,25,Expense
2024-03-20,Income,Investment Return,200,Income
2024-03-25,Food,Groceries,80,Expense
2024-05-04,Transport,Bus Ticket,2.75,Expense
2024-04-05,Food,Breakfast,15,Expense
2024-05-06,Income,Salary,2000,Income
2024-04-10,Income,Freelance Work,500,Income
2024-06-12,Utilities,Water Bill,40,Expense
2024-07-15,Food,Lunch,25,Expense
2024-07-18,Transport,Taxi,25,Expense
2024-08-20,Income,Investment Return,200,Income
2024-09-25,Food,Groceries,80,Expense
2024-12-06,Income,Salary,2000,Income
2024-11-10,Income,Freelance Work,500,Income
2024-11-12,Utilities,Water Bill,40,Expense
2024-11-15,Food,Lunch,25,Expense
2024-12-18,Transport,Taxi,25,Expense
2024-12-20,Income,Investment Return,200,Income
2024-12-25,Food,Groceries,80,Expense
